"","state","date","State_abbrev","stateFIPS","pos_test","neg_test","test","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","density","q_popdensity","q_poverty","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","retail_and_recreation","grocery_and_pharmacy","parks","transit","workplaces","residential"
"55","Alaska",2020-03-09,"AK",2,0,9,9,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,7,4,14,3,-10,2
"56","Alaska",2020-03-10,"AK",2,0,0,0,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,13,6,11,2,-7,2
"57","Alaska",2020-03-11,"AK",2,0,23,23,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,12,9,16,3,-8,2
"58","Alaska",2020-03-12,"AK",2,0,0,0,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,12,19,21,-1,-9,2
"59","Alaska",2020-03-13,"AK",2,1,13,14,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,7,19,16,0,-10,3
"60","Alaska",2020-03-14,"AK",2,0,84,84,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,0,19,37,1,-1,1
"61","Alaska",2020-03-15,"AK",2,0,0,0,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,5,14,58,7,-1,0
"62","Alaska",2020-03-16,"AK",2,0,0,0,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,1,20,29,-6,-12,4
"63","Alaska",2020-03-17,"AK",2,2,191,193,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-14,8,12,-12,-15,7
"64","Alaska",2020-03-18,"AK",2,3,72,75,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-19,8,6,-12,-21,9
