"","X","state","Type","Start.Date","End.Date","date","stayathome"
"Alaska.2.19",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-20,0
"Alaska.2.20",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-21,0
"Alaska.2.21",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-22,0
"Alaska.2.22",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-23,0
"Alaska.2.23",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-24,0
"Alaska.2.24",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-25,0
"Alaska.2.25",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-26,0
"Alaska.2.26",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-27,0
"Alaska.2.27",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-28,1
"Alaska.2.28",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-29,1
"Alaska.2.29",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-30,1
"Alaska.2.30",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-03-31,1
"Alaska.2.31",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-01,1
"Alaska.2.32",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-02,1
"Alaska.2.33",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-03,1
"Alaska.2.34",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-04,1
"Alaska.2.35",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-05,1
"Alaska.2.36",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-06,1
"Alaska.2.37",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-07,1
"Alaska.2.38",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-08,1
"Alaska.2.39",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-09,1
"Alaska.2.40",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-10,1
"Alaska.2.41",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-11,1
"Alaska.2.42",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-12,1
"Alaska.2.43",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-13,1
"Alaska.2.44",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-14,1
"Alaska.2.45",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-15,1
"Alaska.2.46",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-16,1
"Alaska.2.47",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-17,1
"Alaska.2.48",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-18,1
"Alaska.2.49",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-19,1
"Alaska.2.50",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-20,1
"Alaska.2.51",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-21,1
"Alaska.2.52",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-22,1
"Alaska.2.53",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-23,1
"Alaska.2.54",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-24,1
"Alaska.2.55",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-25,0
"Alaska.2.56",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-26,0
"Alaska.2.57",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-27,0
"Alaska.2.58",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-28,0
"Alaska.2.59",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-29,0
"Alaska.2.60",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-04-30,0
"Alaska.2.61",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-01,0
"Alaska.2.62",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-02,0
"Alaska.2.63",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-03,0
"Alaska.2.64",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-04,0
"Alaska.2.65",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-05,0
"Alaska.2.66",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-06,0
"Alaska.2.67",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-07,0
"Alaska.2.68",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-08,0
"Alaska.2.69",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-09,0
"Alaska.2.70",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-10,0
"Alaska.2.71",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-11,0
"Alaska.2.72",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-12,0
"Alaska.2.73",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-13,0
"Alaska.2.74",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-14,0
"Alaska.2.75",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-15,0
"Alaska.2.76",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-16,0
"Alaska.2.77",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-17,0
"Alaska.2.78",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-18,0
"Alaska.2.79",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-19,0
"Alaska.2.80",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-20,0
"Alaska.2.81",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-21,0
"Alaska.2.82",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-22,0
