"","week","date","state","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"377",19,2020-05-05,"Montana",7.14285714285714,-25.8571428571429,-12,13.5714285714286,58.8571428571429,-12.5714285714286
"378",20,2020-05-12,"Montana",7.75,-25.5,-12.75,9.75,58.75,-12.5
"379",7,2020-02-11,"Nebraska",0.666666666666667,-3.66666666666667,9,4.66666666666667,31.3333333333333,0
"380",8,2020-02-18,"Nebraska",-0.285714285714286,2,4.85714285714286,2.71428571428571,26.1428571428571,4.71428571428571
"381",9,2020-02-25,"Nebraska",-1.28571428571429,2.85714285714286,10,6.57142857142857,34.5714285714286,6.57142857142857
"382",10,2020-03-03,"Nebraska",-1.14285714285714,0.714285714285714,9.57142857142857,9.42857142857143,51.4285714285714,8.28571428571429
"383",11,2020-03-10,"Nebraska",3.42857142857143,-6.85714285714286,-1.28571428571429,17,15.2857142857143,0.428571428571429
"384",12,2020-03-17,"Nebraska",12.1428571428571,-24,-30.4285714285714,2.85714285714286,8,-13.7142857142857
"385",13,2020-03-24,"Nebraska",13.8571428571429,-30.8571428571429,-34,-8.42857142857143,53.4285714285714,-17.2857142857143
"386",14,2020-03-31,"Nebraska",15.1428571428571,-34.5714285714286,-36,-5.71428571428571,45.1428571428571,-20.2857142857143
"387",15,2020-04-07,"Nebraska",15.7142857142857,-40.1428571428571,-39.5714285714286,-9.85714285714286,32.2857142857143,-24.4285714285714
"388",16,2020-04-14,"Nebraska",15.5714285714286,-35,-32.1428571428571,-8.71428571428571,27.2857142857143,-19.8571428571429
"389",17,2020-04-21,"Nebraska",13.8571428571429,-35.4285714285714,-26.5714285714286,-4.28571428571429,77.2857142857143,-12.2857142857143
"390",18,2020-04-28,"Nebraska",12.2857142857143,-34.2857142857143,-22.7142857142857,0.142857142857143,77.8571428571429,-7.71428571428571
"391",19,2020-05-05,"Nebraska",12.4285714285714,-31.5714285714286,-18.8571428571429,5.71428571428571,56.1428571428571,-6.14285714285714
"392",20,2020-05-12,"Nebraska",12.75,-31.25,-19.5,0.75,66,-5
"393",7,2020-02-11,"Nevada",1.66666666666667,-10,4.66666666666667,1.66666666666667,25,0.333333333333333
"394",8,2020-02-18,"Nevada",0,0.714285714285714,2.42857142857143,1.28571428571429,9.57142857142857,3.57142857142857
"395",9,2020-02-25,"Nevada",-0.428571428571429,0.714285714285714,6.85714285714286,5,7.14285714285714,2.57142857142857
"396",10,2020-03-03,"Nevada",-0.285714285714286,-0.142857142857143,5,8.14285714285714,12.4285714285714,0.285714285714286
"397",11,2020-03-10,"Nevada",2.71428571428571,-5.42857142857143,-1,18,-5.71428571428571,-10.1428571428571
"398",12,2020-03-17,"Nevada",15.1428571428571,-41.8571428571429,-35.1428571428571,-2.85714285714286,-34.8571428571429,-43.5714285714286
"399",13,2020-03-24,"Nevada",18.5714285714286,-51,-42.8571428571429,-17.1428571428571,-40.1428571428571,-55.2857142857143
"400",14,2020-03-31,"Nevada",19.1428571428571,-53.2857142857143,-42.1428571428571,-14.1428571428571,-39.2857142857143,-56.4285714285714
"401",15,2020-04-07,"Nevada",19.7142857142857,-54.7142857142857,-46.2857142857143,-18.5714285714286,-42.8571428571429,-57.1428571428571
"402",16,2020-04-14,"Nevada",18.5714285714286,-52.2857142857143,-43,-16,-37.8571428571429,-53.5714285714286
"403",17,2020-04-21,"Nevada",18,-51.7142857142857,-41.1428571428571,-14.4285714285714,-33.7142857142857,-52.1428571428571
"404",18,2020-04-28,"Nevada",15.7142857142857,-50.1428571428571,-37.1428571428571,-8.14285714285714,-33.2857142857143,-49.4285714285714
"405",19,2020-05-05,"Nevada",15.5714285714286,-47,-34.4285714285714,-3.71428571428571,-29.8571428571429,-47
"406",20,2020-05-12,"Nevada",15.75,-44.75,-31.5,-6.25,-31.25,-44.25
"407",7,2020-02-11,"New Hampshire",1.33333333333333,-5,11.3333333333333,2,27.3333333333333,14
"408",8,2020-02-18,"New Hampshire",0.428571428571429,0.142857142857143,2.57142857142857,-2.42857142857143,23.7142857142857,17.7142857142857
"409",9,2020-02-25,"New Hampshire",0.428571428571429,-4.85714285714286,5,-1,3,10
"410",10,2020-03-03,"New Hampshire",-0.428571428571429,2.85714285714286,6.42857142857143,3.57142857142857,32,10
"411",11,2020-03-10,"New Hampshire",2.71428571428571,-3.14285714285714,1.28571428571429,19.1428571428571,14.5714285714286,-3.42857142857143
"412",12,2020-03-17,"New Hampshire",13.8571428571429,-30.1428571428571,-32.7142857142857,3.42857142857143,12.4285714285714,-29.2857142857143
"413",13,2020-03-24,"New Hampshire",18,-41.5714285714286,-43.2857142857143,-15.8571428571429,4,-45.2857142857143
"414",14,2020-03-31,"New Hampshire",19,-44.5714285714286,-43,-17.1428571428571,11.2857142857143,-48.8571428571429
"415",15,2020-04-07,"New Hampshire",19.7142857142857,-47.5714285714286,-45.8571428571429,-22.7142857142857,2.57142857142857,-52.8571428571429
"416",16,2020-04-14,"New Hampshire",18.4285714285714,-44,-37,-17.8571428571429,27.7142857142857,-49.5714285714286
"417",17,2020-04-21,"New Hampshire",18.1428571428571,-43.2857142857143,-37.1428571428571,-17.7142857142857,14,-50.2857142857143
"418",18,2020-04-28,"New Hampshire",15.5714285714286,-41.2857142857143,-29.2857142857143,-11,49.4285714285714,-39.7142857142857
"419",19,2020-05-05,"New Hampshire",15.7142857142857,-39,-27.4285714285714,-5.57142857142857,38.7142857142857,-37
"420",20,2020-05-12,"New Hampshire",15,-37.75,-23.5,-6,72,-28.75
"421",7,2020-02-11,"New Jersey",2.66666666666667,-11.6666666666667,7,-2,29.3333333333333,-4.33333333333333
