"","state","date","week","pos_test","neg_test","test","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"245","Michigan",2020-03-18,12,4048,5170,9218,13.688679245283,-32.6320754716981,-38.188679245283,0.792452830188679,25.6981132075472,-25.6792452830189
"246","Michigan",2020-03-25,13,5434,18183,23617,21.8878504672897,-53.607476635514,-57.785046728972,-27.7102803738318,20.6355140186916,-46.803738317757
"247","Michigan",2020-04-01,14,7948,21571,29519,21.8252427184466,-56.0485436893204,-53.1359223300971,-22.621359223301,56.4466019417476,-45.5145631067961
"248","Michigan",2020-04-08,15,7178,13675,20853,22.8796296296296,-58.2685185185185,-57.6203703703704,-26,24.7037037037037,-51.3518518518519
"249","Michigan",2020-04-15,16,5966,25034,31000,22.2897196261682,-54.3084112149533,-50.7663551401869,-22.5981308411215,25.196261682243,-48.5700934579439
"250","Michigan",2020-04-22,17,6295,41284,47579,21.5145631067961,-53.2621359223301,-46.6504854368932,-20.873786407767,36.2330097087379,-45.3106796116505
"251","Michigan",2020-04-29,18,5135,52896,58031,18.4395604395604,-51.6813186813187,-36.5384615384615,-13.7472527472527,85.1538461538462,-37.9120879120879
"252","Michigan",2020-05-06,19,3624,81430,85054,17.2264150943396,-46.4716981132075,-34.2547169811321,-7.43396226415094,56.8207547169811,-33.0943396226415
"253","Michigan",2020-05-13,20,4329,110685,115014,17.8571428571429,-49.2857142857143,-27.1071428571429,-6.64285714285714,118,-29.0714285714286
"254","Minnesota",2020-03-04,10,3,132,135,-0.245901639344262,0.60655737704918,7.01639344262295,6.67213114754098,15.3770491803279,-2.31147540983607
"255","Minnesota",2020-03-11,11,57,2144,2201,3.15873015873016,-5.73015873015873,-0.0793650793650794,14.2698412698413,-0.174603174603175,-11.3015873015873
"256","Minnesota",2020-03-18,12,202,3274,3476,15.4838709677419,-32.6612903225806,-38.4354838709677,-3.58064516129032,10.3548387096774,-36.9032258064516
"257","Minnesota",2020-03-25,13,367,13601,13968,19.6935483870968,-44.0806451612903,-47.3064516129032,-19.4838709677419,26.258064516129,-47.9032258064516
"258","Minnesota",2020-04-01,14,440,9040,9480,21.2096774193548,-48.5,-46.9516129032258,-18.5483870967742,40.5161290322581,-46.4032258064516
"259","Minnesota",2020-04-08,15,626,9355,9981,20.9677419354839,-50.8064516129032,-48.6129032258064,-19,28.1129032258065,-47.2741935483871
"260","Minnesota",2020-04-15,16,872,7584,8456,20.2372881355932,-46.8135593220339,-41.6610169491525,-14.8983050847458,30.8305084745763,-42.0169491525424
"261","Minnesota",2020-04-22,17,1614,14518,16132,18.3035714285714,-46.3214285714286,-37.25,-10.9107142857143,92.5535714285714,-36.4821428571429
"262","Minnesota",2020-04-29,18,3670,20510,24180,16.2413793103448,-45.1206896551724,-33.1724137931034,-5.3448275862069,85.2758620689655,-32.1551724137931
"263","Minnesota",2020-05-06,19,4643,28182,32825,16.4727272727273,-42.8545454545455,-31.6727272727273,0.327272727272727,77.1272727272727,-30.6363636363636
"264","Minnesota",2020-05-13,20,4535,36466,41001,19.1176470588235,-47.2941176470588,-30.0588235294118,-2.94117647058824,87.5294117647059,-33.5882352941176
"265","Mississippi",2020-03-04,10,0,0,0,-0.842105263157895,-0.736842105263158,13.8421052631579,8.21052631578947,21.4473684210526,12.5789473684211
"266","Mississippi",2020-03-11,11,21,368,389,1.05263157894737,-7.52631578947368,8.55263157894737,22.5526315789474,31.4736842105263,8.18421052631579
"267","Mississippi",2020-03-18,12,299,1184,1483,9.81395348837209,-25.0232558139535,-20.8837209302326,10.8139534883721,8.7906976744186,-11.2093023255814
"268","Mississippi",2020-03-25,13,617,1985,2602,12.9268292682927,-33.4878048780488,-31.2926829268293,-7.19512195121951,10.7560975609756,-19.3170731707317
"269","Mississippi",2020-04-01,14,978,15095,16073,15.1627906976744,-39.3023255813954,-33.9302325581395,-4.23255813953488,-12.3488372093023,-27.5581395348837
