"","state","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","Age_gp1","Age_gp2","Age_gp3","Age_gp4","density","q_popdensity","q_poverty","State_abbrev","stateFIPS","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","winter_tmmx","summer_tmmx","beds","smoke_perc","obese_perc","inactive_perc","diabetes_perc","bed_rate"
"27","Nebraska",1904760,36.4,4.8,10.7,77348,"26.3","23","10.5","20.8","10.5","91.1","31.3",11.6,0.275841051,0.327559378,0.246407421,0.15019215,24.6258468221544,1,1,"NE",31,276.787942794123,303.389823599921,90.6528654902968,88.4576310119295,38.5482970294215,86.4316824798578,7394,0.337202127659574,0.146327556659574,0.277063829787234,0.102468085106383,388.185388185388
"28","Nevada",2922849,37.9,8.9,28.5,110572,"28.1","25.7","8.2","15.9","8.4","86.3","24.2",13.7,0.252876902,0.341016248,0.256235611,0.149871239,26.4338982744275,1,2,"NV",32,280.027138857955,303.228106323786,82.3347183292076,52.2418037028025,44.378849944319,86.1405913828148,7771,0.293611111111111,0.175526076166667,0.246111111111111,0.0999444444444444,265.870730920414
"29","New Hampshire",1343622,42.7,1.5,3.6,9349,"27.6","18.7","10.1","22.4","14.1","92.9","36.5",7.9,0.224276619,0.303192416,0.30285229,0.169678675,143.718258637287,4,1,"NH",33,273.14587762023,298.288838826374,86.8080861585671,91.7967146994216,31.9925797164141,77.2499098874732,3398,0.287545454545455,0.149207274090909,0.22,0.0952727272727273,252.898508657941
"30","New Jersey",8881845,39.8,13.5,19.9,8723,"27.5","16.6","6.5","23.8","15.1","89.5","38.9",10.4,0.246554291,0.319903691,0.278522086,0.155019931,1018.20990484925,5,1,"NJ",34,278.637998844615,301.867246624846,80.998331272588,89.6566688118147,41.8783979203071,83.6910439247229,31359,0.274,0.140534052681818,0.261727272727273,0.0976818181818182,353.068534747004
"31","New Mexico",2092434,37.5,2.1,48.5,121590,"26.4","23.5","8.2","15.3","11.8","85.3","27.1",20,0.262994197,0.322958335,0.25083324,0.163214228,17.2089316555638,1,3,"NM",35,283.764852122269,304.23070534849,77.8452962865369,69.1682857538934,51.1067338200843,87.945269627282,5132,0.287352941176471,0.170789438323529,0.237852941176471,0.108647058823529,245.264605717552
"32","New York",19618453,38.7,15.6,18.9,54555,"26.1","15.7","8.7","20.2","15.7","86.5","35.9",14.6,0.237330691,0.339627289,0.26662352,0.1564185,359.608706809642,5,2,"NY",36,274.229942496449,299.061581365106,87.7575822526431,90.6300616499215,33.9438964936082,78.6408464571909,57083,0.308365079365079,0.153553656333333,0.252444444444444,0.108444444444444,290.965857501608
"33","North Carolina",10155624,38.6,21.5,9.2,53819,"25.9","21.5","9.5","19.6","10.9","87.4","30.5",15.4,0.253409342,0.328788265,0.263109977,0.154692415,188.69960422899,4,3,"NC",37,284.568063654304,303.591404396275,81.9877967091621,95.8432418478176,52.5525145777473,86.794527913295,27175,0.337782178217822,0.174722874950495,0.27770297029703,0.132138613861386,267.585723929913
"34","North Dakota",752201,35.1,2.7,3.5,70698,"26.8","22.6","13.7","21.5","7.9","92.5","29.5",10.9,0.259767004,0.353599636,0.240515501,0.146117859,10.6396361990438,1,1,"ND",38,268.389825838975,299.83962778128,92.5428430610548,90.1409479059335,23.4316865101551,80.041330006304,3878,0.332944444444444,0.171224747777778,0.279537037037037,0.101481481481481,515.553688442318
"35","Ohio",11641879,39.3,12.4,3.7,44826,"33.3","20.5","8.6","17.3","10.5","90.1","27.8",14.5,0.251622955,0.315624651,0.270161715,0.162590678,259.712644447419,4,2,"OH",39,276.20337631897,301.252781415551,90.306900505681,90.963750932028,37.4960773741461,82.5850065479918,49177,0.342943820224719,0.192211852516854,0.289292134831461,0.127573033707865,422.414629116142
"36","Oklahoma",3918137,36.4,7.3,10.4,69899,"31.3","23.6","7.7","16.7","8.5","87.8","25.2",16,0.271553802,0.332634106,0.245426844,0.150385247,56.0542640094994,2,3,"OK",40,284.328350389695,307.011909716833,86.2738260542068,87.2254723043467,52.121030701451,92.9514374902994,15177,0.351166666666667,0.190569230564103,0.316858974358974,0.134679487179487,387.352458579167
